Driver,Stint,Compound,TyreLife,LapNumber,PitInTime,PitOutTime,Round,Session
VER,4.0,HARD,15.0,49.0,,,4,R
VER,4.0,HARD,16.0,50.0,,,4,R
VER,4.0,HARD,17.0,51.0,,,4,R
VER,4.0,HARD,18.0,52.0,,,4,R
VER,4.0,HARD,19.0,53.0,,,4,R
PER,1.0,MEDIUM,1.0,1.0,0 days 01:04:51.966000,,4,R
PER,2.0,MEDIUM,2.0,2.0,,0 days 01:31:09.531000,4,R
PER,2.0,MEDIUM,3.0,3.0,,,4,R
PER,2.0,MEDIUM,4.0,4.0,,,4,R
PER,2.0,MEDIUM,5.0,5.0,,,4,R
PER,2.0,MEDIUM,6.0,6.0,,,4,R
PER,2.0,MEDIUM,7.0,7.0,,,4,R
PER,2.0,MEDIUM,8.0,8.0,,,4,R
PER,2.0,MEDIUM,9.0,9.0,,,4,R
PER,2.0,MEDIUM,10.0,10.0,,,4,R
PER,2.0,MEDIUM,11.0,11.0,,,4,R
PER,2.0,MEDIUM,12.0,12.0,,,4,R
PER,2.0,MEDIUM,13.0,13.0,,,4,R
PER,2.0,MEDIUM,14.0,14.0,,,4,R
PER,2.0,MEDIUM,15.0,15.0,0 days 01:55:50.225000,,4,R
PER,3.0,MEDIUM,1.0,16.0,,0 days 01:56:13.153000,4,R
PER,3.0,MEDIUM,2.0,17.0,,,4,R
PER,3.0,MEDIUM,3.0,18.0,,,4,R
PER,3.0,MEDIUM,4.0,19.0,,,4,R
PER,3.0,MEDIUM,5.0,20.0,,,4,R
PER,3.0,MEDIUM,6.0,21.0,,,4,R
PER,3.0,MEDIUM,7.0,22.0,,,4,R
PER,3.0,MEDIUM,8.0,23.0,,,4,R
PER,3.0,MEDIUM,9.0,24.0,,,4,R
PER,3.0,MEDIUM,10.0,25.0,,,4,R
PER,3.0,MEDIUM,11.0,26.0,,,4,R
PER,3.0,MEDIUM,12.0,27.0,,,4,R
PER,3.0,MEDIUM,13.0,28.0,,,4,R
PER,3.0,MEDIUM,14.0,29.0,,,4,R
PER,3.0,MEDIUM,15.0,30.0,,,4,R
PER,3.0,MEDIUM,16.0,31.0,,,4,R
PER,3.0,MEDIUM,17.0,32.0,,,4,R
PER,3.0,MEDIUM,18.0,33.0,0 days 02:25:17.143000,,4,R
PER,4.0,HARD,1.0,34.0,,0 days 02:25:40.047000,4,R
PER,4.0,HARD,2.0,35.0,,,4,R
PER,4.0,HARD,3.0,36.0,,,4,R
PER,4.0,HARD,4.0,37.0,,,4,R
PER,4.0,HARD,5.0,38.0,,,4,R
PER,4.0,HARD,6.0,39.0,,,4,R
PER,4.0,HARD,7.0,40.0,,,4,R
PER,4.0,HARD,8.0,41.0,,,4,R
PER,4.0,HARD,9.0,42.0,,,4,R
PER,4.0,HARD,10.0,43.0,,,4,R
PER,4.0,HARD,11.0,44.0,,,4,R
PER,4.0,HARD,12.0,45.0,,,4,R
PER,4.0,HARD,13.0,46.0,,,4,R
PER,4.0,HARD,14.0,47.0,,,4,R
PER,4.0,HARD,15.0,48.0,,,4,R
